,issue_key1,issue_key2,time_add_to_sprint,created,from_string,to_string,field,if_before
258,DAOS-1131,,2018-07-17 15:34:30,,,,,
259,DAOS-1132,,2018-07-17 17:08:59,,,,,
260,DAOS-1133,,2018-07-17 16:15:10,,,,,
261,DAOS-1134,,2018-07-17 16:15:01,,,,,
262,DAOS-1135,,2018-07-17 17:15:04,,,,,
263,DAOS-1136,,2018-07-17 17:18:15,,,,,
264,DAOS-1139,,2018-07-19 09:50:33,,,,,
265,DAOS-114,,2016-06-22 00:28:49,,,,,
266,DAOS-115,,2016-07-19 06:20:21,,,,,
267,DAOS-1159,,2018-07-25 13:53:07,,,,,
268,DAOS-116,,2016-07-19 06:08:14,,,,,
269,DAOS-1160,,2018-07-26 11:15:21,,,,,
270,DAOS-1165,,2018-08-15 14:35:24,,,,,
271,DAOS-1168,,2018-08-14 16:40:45,,,,,
272,DAOS-1169,,2018-07-31 16:32:17,,,,,
273,DAOS-117,,2016-07-19 06:09:03,,,,,
274,DAOS-1171,,2018-08-14 07:26:29,,,,,
275,DAOS-1175,,2018-08-15 14:45:07,,,,,
276,DAOS-1177,,2018-07-31 07:24:06,,,,,
277,DAOS-1178,,2018-07-31 07:24:09,,,,,
278,DAOS-1179,,2018-07-30 16:23:05,,,,,
279,DAOS-118,,2016-07-19 06:11:40,,,,,
280,DAOS-1180,,2018-07-30 16:25:52,,,,,
281,DAOS-1181,,2018-07-30 16:26:31,,,,,
282,DAOS-1183,,2018-07-30 23:23:57,,,,,
283,DAOS-1184,,2018-07-31 07:44:59,,,,,
284,DAOS-1185,,2018-07-31 07:45:01,,,,,
285,DAOS-1186,,2018-07-31 07:14:26,,,,,
286,DAOS-1187,,2018-07-31 07:16:06,,,,,
287,DAOS-1188,,2018-07-31 07:23:22,,,,,
288,DAOS-1189,,2018-07-31 07:31:37,,,,,
289,DAOS-119,,2016-07-27 10:51:29,,,,,
290,DAOS-1190,,2018-07-31 07:32:34,,,,,
291,DAOS-1191,,2018-07-31 07:33:11,,,,,
292,DAOS-1192,,2018-07-31 07:40:32,,,,,
293,DAOS-1193,,2018-07-31 07:40:53,,,,,
294,DAOS-1194,,2018-07-31 07:42:04,,,,,
295,DAOS-1195,,2018-07-31 16:44:54,,,,,
296,DAOS-12,,2016-04-06 03:18:27,,,,,
297,DAOS-120,,2016-07-28 06:57:03,,,,,
298,DAOS-1201,,2018-08-02 11:00:41,,,,,
299,DAOS-1202,,2018-08-06 09:12:44,,,,,
300,DAOS-1203,,2018-08-06 14:29:15,,,,,
301,DAOS-1205,,2018-08-07 04:22:41,,,,,
302,DAOS-1209,,2018-08-10 07:57:56,,,,,
303,DAOS-121,,2016-07-28 06:58:29,,,,,
304,DAOS-1210,,2018-08-10 12:34:20,,,,,
305,DAOS-1211,,2018-08-13 10:23:09,,,,,
306,DAOS-1213,,2018-08-13 10:27:15,,,,,
307,DAOS-1214,,2018-08-14 07:25:08,,,,,
308,DAOS-1215,,2018-08-14 07:29:45,,,,,
309,DAOS-1216,,2018-08-14 07:18:34,,,,,
310,DAOS-1217,,2018-08-14 07:18:20,,,,,
311,DAOS-1218,,2018-08-14 07:15:17,,,,,
312,DAOS-1219,,2018-08-14 07:16:09,,,,,
313,DAOS-122,,2016-07-28 06:59:54,,,,,
314,DAOS-1221,,2018-08-16 14:02:48,,,,,
315,DAOS-1223,,2018-08-14 16:41:13,,,,,
316,DAOS-1224,,2018-08-24 14:13:43,,,,,
317,DAOS-1227,,2018-08-14 13:02:10,,,,,
318,DAOS-1228,,2018-08-14 15:49:19,,,,,
319,DAOS-1229,,2018-08-14 16:37:27,,,,,
320,DAOS-123,,2016-07-28 07:04:50,,,,,
321,DAOS-1231,,2018-08-14 16:39:35,,,,,
322,DAOS-1236,,2018-08-15 11:57:11,,,,,
323,DAOS-1237,,2018-08-16 15:42:51,,,,,
324,DAOS-1239,,2018-08-20 02:59:26,,,,,
325,DAOS-124,,2016-07-28 07:11:23,,,,,
326,DAOS-1246,,2018-08-20 21:54:25,,,,,
327,DAOS-1247,,2018-11-22 05:01:55,,,,,
328,DAOS-1248,,2018-10-31 08:33:37,,,,,
329,DAOS-1249,,2018-10-31 08:33:13,,,,,
330,DAOS-125,,2016-07-28 07:15:18,,,,,
331,DAOS-1250,,2018-08-21 08:44:55,,,,,
332,DAOS-1258,,2018-08-23 15:05:06,,,,,
333,DAOS-1259,,2018-08-23 15:31:20,,,,,
334,DAOS-126,,2016-07-28 07:16:55,,,,,
335,DAOS-1260,,2018-08-30 12:48:42,,,,,
336,DAOS-1261,,2018-08-31 09:03:01,,,,,
337,DAOS-1262,,2018-09-27 10:57:54,,,,,
338,DAOS-1263,,2018-10-01 07:35:28,,,,,
339,DAOS-1264,,2018-11-06 16:12:06,,,,,
340,DAOS-1266,,2018-12-26 09:39:09,,,,,
341,DAOS-1267,,2018-12-26 09:50:02,,,,,
342,DAOS-1268,,2019-07-29 16:28:05,,,,,
343,DAOS-127,,2016-07-28 07:18:51,,,,,
344,DAOS-1277,,2018-08-28 16:57:42,,,,,
345,DAOS-128,,2016-07-28 13:23:45,,,,,
346,DAOS-1280,,2018-08-28 07:29:30,,,,,
347,DAOS-1287,,2018-08-30 12:58:32,,,,,
348,DAOS-1297,,2018-08-28 07:25:49,,,,,
349,DAOS-1298,,2018-08-28 07:30:28,,,,,
350,DAOS-1299,,2018-08-28 07:30:22,,,,,
351,DAOS-13,,2016-04-06 03:21:10,,,,,
352,DAOS-130,,2016-08-04 14:10:31,,,,,
353,DAOS-1300,,2018-08-28 07:36:52,,,,,
354,DAOS-1301,,2018-08-28 07:44:29,,,,,
355,DAOS-1302,,2018-08-28 07:45:59,,,,,
356,DAOS-1303,,2018-08-28 08:42:12,,,,,
357,DAOS-1304,,2018-08-28 16:53:18,,,,,
358,DAOS-1308,,2018-08-28 14:10:17,,,,,
359,DAOS-1309,,2018-08-28 16:58:13,,,,,
360,DAOS-1311,,2018-08-29 11:51:53,,,,,
361,DAOS-1312,,2018-08-29 11:57:23,,,,,
362,DAOS-1313,,2018-08-29 11:58:34,,,,,
363,DAOS-1315,,2018-09-11 07:28:39,,,,,
364,DAOS-1316,,2018-09-11 07:28:42,,,,,
365,DAOS-1317,,2019-07-29 16:31:11,,,,,
366,DAOS-1320,,2018-09-25 16:46:24,,,,,
367,DAOS-1326,,2018-09-05 09:20:31,,,,,
368,DAOS-1328,,2018-09-25 16:01:09,,,,,
369,DAOS-1329,,2018-10-09 15:00:58,,,,,
370,DAOS-133,,2016-09-05 00:50:08,,,,,
371,DAOS-1331,,2018-09-06 08:13:29,,,,,
372,DAOS-1338,,2019-08-05 14:47:37,,,,,
373,DAOS-1339,,2019-08-05 14:35:53,,,,,
374,DAOS-134,,2016-09-05 00:55:22,,,,,
375,DAOS-1342,,2019-07-29 16:31:32,,,,,
376,DAOS-1343,,2019-07-29 16:31:36,,,,,
377,DAOS-1344,,2018-09-11 16:44:41,,,,,
378,DAOS-1346,,2019-07-29 16:31:41,,,,,
379,DAOS-135,,2016-09-05 00:56:30,,,,,
380,DAOS-1354,,2018-09-09 10:29:54,,,,,
381,DAOS-1355,,2018-09-10 08:51:03,,,,,
382,DAOS-136,,2016-09-05 01:03:24,,,,,
383,DAOS-1361,,2018-09-11 16:11:49,,,,,
384,DAOS-1363,,2018-09-11 07:14:28,,,,,
385,DAOS-1364,,2018-09-11 07:21:55,,,,,
386,DAOS-1365,,2018-09-11 07:25:00,,,,,
387,DAOS-1366,,2018-09-11 07:26:41,,,,,
388,DAOS-1367,,2018-09-11 07:27:19,,,,,
389,DAOS-1368,,2018-09-11 07:56:12,,,,,
390,DAOS-1369,,2018-09-11 09:38:35,,,,,
391,DAOS-1372,,2018-09-11 16:51:13,,,,,
392,DAOS-1376,,2018-09-11 16:50:25,,,,,
393,DAOS-1377,,2018-09-11 16:50:25,,,,,
394,DAOS-138,,2016-09-05 01:11:46,,,,,
395,DAOS-139,,2016-09-05 01:13:30,,,,,
396,DAOS-1397,,2018-09-11 15:12:28,,,,,
397,DAOS-140,,2016-09-05 01:14:12,,,,,
398,DAOS-1403,,2018-09-11 16:50:25,,,,,
399,DAOS-1404,,2018-09-11 16:46:50,,,,,
400,DAOS-1405,,2018-09-11 16:46:54,,,,,
401,DAOS-1406,,2018-09-11 15:59:13,,,,,
402,DAOS-1407,,2018-09-11 16:11:14,,,,,
403,DAOS-1408,,2018-09-11 16:54:27,,,,,
404,DAOS-1409,,2018-09-12 05:03:32,,,,,
405,DAOS-1410,,2018-09-12 08:17:09,,,,,
406,DAOS-1416,,2018-09-12 12:13:07,,,,,
407,DAOS-1419,,2018-09-12 12:21:44,,,,,
408,DAOS-142,,2016-09-14 16:47:01,,,,,
409,DAOS-1423,,2018-11-27 14:49:17,,,,,
410,DAOS-1426,,2018-09-26 12:39:03,,,,,
411,DAOS-1427,,2018-11-08 11:30:05,,,,,
412,DAOS-1433,,2018-09-14 09:03:00,,,,,
413,DAOS-1435,,2018-09-21 07:33:27,,,,,
414,DAOS-1436,,2018-10-18 06:51:37,,,,,
415,DAOS-1437,,2018-10-18 06:50:17,,,,,
416,DAOS-1438,,2018-09-24 11:41:55,,,,,
417,DAOS-1441,,2020-01-22 10:52:54,,,,,
418,DAOS-1443,,2018-09-19 10:30:02,,,,,
419,DAOS-1447,,2018-09-20 08:42:44,,,,,
420,DAOS-1453,,2018-09-21 07:32:56,,,,,
421,DAOS-1455,,2018-09-25 07:27:20,,,,,
422,DAOS-1458,,2018-10-09 07:25:07,,,,,
423,DAOS-1459,,2018-09-25 07:28:08,,,,,
424,DAOS-1460,,2018-09-25 07:27:26,,,,,
425,DAOS-1461,,2018-09-25 16:01:52,,,,,
426,DAOS-1463,,2018-09-25 07:27:14,,,,,
427,DAOS-1465,,2018-11-05 15:22:36,,,,,
428,DAOS-1467,,2018-09-25 16:43:13,,,,,
429,DAOS-1468,,2018-10-02 11:12:41,,,,,
430,DAOS-1469,,2018-10-04 12:50:20,,,,,
431,DAOS-147,,2016-10-11 04:09:31,,,,,
432,DAOS-1470,,2018-10-09 16:31:34,,,,,
433,DAOS-1471,,2018-09-25 07:20:21,,,,,
434,DAOS-1472,,2018-09-25 00:19:43,,,,,
435,DAOS-1473,,2018-09-25 07:20:21,,,,,
436,DAOS-1474,,2018-09-25 07:25:16,,,,,
437,DAOS-1475,,2018-09-25 07:29:29,,,,,
438,DAOS-1476,,2018-09-25 16:34:39,,,,,
439,DAOS-1483,,2018-09-25 16:43:00,,,,,
440,DAOS-1489,,2018-09-25 15:50:21,,,,,
441,DAOS-149,,2016-10-11 02:33:56,,,,,
442,DAOS-1492,DAOS-1492,2020-01-22 10:57:29,2022-03-10 08:11:59,,This issue implements SRS-223,Link,0.0
443,DAOS-1493,,2018-09-25 16:36:56,,,,,
444,DAOS-1494,,2018-09-25 16:48:29,,,,,
445,DAOS-1495,,2018-09-26 07:29:34,,,,,
446,DAOS-1496,,2018-09-26 14:02:27,,,,,
447,DAOS-1498,,2018-11-20 12:35:04,,,,,
448,DAOS-1499,,2018-09-26 12:37:11,,,,,
449,DAOS-15,,2016-04-06 03:29:15,,,,,
450,DAOS-150,,2016-10-11 02:37:41,,,,,
451,DAOS-1500,,2018-09-26 12:37:24,,,,,
452,DAOS-1505,,2018-10-09 07:06:03,,,,,
453,DAOS-1507,DAOS-1507,2019-11-14 09:49:38,2022-03-10 07:47:57,,This issue verifies SRS-168,Link,0.0
454,DAOS-1508,DAOS-1508,2019-12-06 11:12:59,2022-03-10 07:52:21,,This issue verifies SRS-177,Link,0.0
455,DAOS-1512,,2018-12-04 09:15:06,,,,,
456,DAOS-1515,,2019-08-06 14:39:48,,,,,
457,DAOS-1521,,2020-01-22 10:57:21,,,,,
458,DAOS-1525,,2020-01-22 10:52:28,,,,,
459,DAOS-1528,,2019-12-03 10:56:13,,,,,
460,DAOS-153,,2016-10-11 02:43:45,,,,,
461,DAOS-1531,,2018-10-01 10:26:21,,,,,
462,DAOS-1534,,2018-10-01 14:31:26,,,,,
463,DAOS-1535,,2018-10-01 14:32:52,,,,,
464,DAOS-1536,,2018-10-02 07:23:20,,,,,
465,DAOS-1538,,2018-10-03 11:48:03,,,,,
466,DAOS-154,,2016-10-11 02:49:21,,,,,
467,DAOS-1540,,2019-07-29 16:27:12,,,,,
468,DAOS-1545,,2018-10-09 07:25:13,,,,,
469,DAOS-1547,,2018-10-08 19:53:15,,,,,
470,DAOS-1548,,2018-10-09 00:51:48,,,,,
471,DAOS-155,,2016-10-11 04:11:29,,,,,
472,DAOS-1550,,2018-10-09 07:28:16,,,,,
473,DAOS-1551,,2018-10-09 16:31:54,,,,,
474,DAOS-1552,,2018-10-09 07:18:44,,,,,
475,DAOS-1553,,2018-10-09 07:19:01,,,,,
476,DAOS-1554,,2018-10-09 07:21:04,,,,,
477,DAOS-1555,,2018-10-09 07:23:58,,,,,
478,DAOS-156,,2016-10-11 04:23:13,,,,,
479,DAOS-1560,,2018-11-06 07:21:54,,,,,
480,DAOS-1569,,2018-10-15 05:14:11,,,,,
481,DAOS-157,,2016-10-11 04:26:24,,,,,
482,DAOS-1571,,2018-10-16 10:16:08,,,,,
483,DAOS-1572,,2018-10-18 06:50:52,,,,,
484,DAOS-1573,,2018-10-18 05:52:34,,,,,
485,DAOS-1576,,2018-10-17 13:28:14,,,,,
